Nombre,Tipo,Subtipo,Estatus,Direccion Fisica,Region,Region Zipcode,Municipio,Fipcode,Zipcode,Contacto,Telefono,Tipo de Licencia,Numero de Licencia,Expiracion de Licencia,Estatus de Licencia,Capacidad
Inst. La Misericordia Inc.,Adultos Mayores,Institucion de Adultos,Operando,"Calle Cesar Gonzalez # 3 , Adjuntas",Guayama,784,Adjuntas,72001,601,Niruka,(787)-829-0991,Licenciado,173,10/8/2023,Al dia,20
Hs Torres Ramos,Adultos Mayores,Hogar Sustituto,Operando,Carr. 518 Km 5.2 Vaca Saltillo,Ponce,716,Adjuntas,72001,601,Mayra,(939)-271-7710,Licenciado,1769,6/28/2025,Al dia,6
Cabecitas De Oro Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 521 Km. 62 Bo. Vegas Arriba,Ponce,716,Adjuntas,72001,601,Tomas,(939)-269-6061,Licenciado,1797,8/9/2024,Al dia,22
Campea Centro De Servicios Multiples De Envejecientes,Adultos Mayores,CAMPEA,Operando,Calle Cesar Gonzalez #2,Ponce,716,Adjuntas,72001,601,Damaris,(787)-829-7220,Licenciado,1513,3/20/2024,Al dia,40
Ivette Segui Roman,Adultos Mayores,Hogar Sustituto,Operando,"Bo. Cerro Gordo, Carr. #417 Km 8.3",Aguadilla,603,Aguada,72003,602,Ivette,(787)-215-5573,Licenciado,111,2/22/2025,Al dia,5
Hogar De Ancianos Maria Isabel Inc,Adultos Mayores,Institucion de Adultos,Operando,"Carr. 115 Km 19.7 Bo. Guayabo,",Aguadilla,603,Aguada,72003,602,Amelia,(939)-891-1009,Licenciado,71,5/14/2025,Al dia,12
Hogar De Ancianos Miry Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 115 Km 19.3 Bo. Guayabo,Aguadilla,603,Aguada,72003,602,Miriam,(787)-868-2209,Licenciado,209,12/18/2024,Al dia,13
Hoga Tito Y Sus Amigos Corp.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 407 Km 5 H 1Bo. Furnias,Aguadilla,603,Aguada,72003,602,Rosa,(939)-339-0773,Licenciado,L01230446,4/24/2025,Al dia,14
Janawil Home Care Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 411 Km 3.4 Bo. Jaguey,Aguadilla,603,Aguada,72003,602,Alex,(787)-280-8048,Licenciado,234,7/25/2025,Al dia,16
"Hogar De Ancianos Zasheily, Inc.",Adultos Mayores,Institucion de Adultos,Operando,"Bo. Guanabano, Comunidad Lullando, Carr. 417 Km.4.3",Aguadilla,603,Aguada,72003,602,Raymond,(787)-341-3396,Licenciado,L01220907,9/13/2024,Al dia,19
"Amada Health Care, Inc.",Adultos Mayores,Institucion de Adultos,Operando,Carr. #2 Km 137.8 Bo. Cerro Gordo,Aguadilla,603,Aguada,72003,602,Miguel,(787)-546-7705,Licenciado,228,11/27/2024,Al dia,26
Centro De Servicios Multiples Y Envejecientes,Adultos Mayores,CAMPEA,Operando,"Carr.4417, Km 1.6, Bo Mamey",Aguadilla,603,Aguada,72003,602,Madeline,(787)-586-7399,Licenciado,20,7/19/2025,Al dia,40
Moret Nursing Home Inc.,Adultos Mayores,Institucion de Adultos,Operando,Carr. 2 Km 132. Int. Bo. Cerro Gordo,Aguadilla,603,Aguada,72003,602,Priscila,(787)-972-7049,Licenciado,260,5/2/2024,Al dia,41
Campea Espinal - Departamento De La  Familia,Adultos Mayores,CAMPEA,Operando,Calle  C Bo. Espinal,Aguadilla,603,Aguada,72003,602,Ileana,(939)-645-7413,Licenciado,38,4/28/2024,Al dia,75
Hogar Sustituto Casa Isaac,Adultos Mayores,Hogar Sustituto,Operando,"Bo. Ceiba Baja, Carr 110 Sur Km, 22.5 Int. Aguadilla",Aguadilla,603,Aguadilla,72005,603,Ian,(787)-448-2686,Licenciado,135,8/22/2025,Al dia,6
