YEAR,COUNTYFIPS,COUNTY,STATE,lon,lat,ACS_TOT_CIVIL_EMPLOY_POP,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,ACS_PCT_UNINSURED,HIFLD_MIN_DIST_UC,POS_MIN_DIST_ED,POS_MIN_DIST_ALC,albumin_urine,bun,creatinine_serum,creatinine_urine,color_ACS_PCT_HH_PUB_ASSIST,color_ACS_TOT_CIVIL_EMPLOY_POP,color_ACS_PCT_LT_HS,color_ACS_PCT_UNINSURED,color_HIFLD_MIN_DIST_UC,color_ACS_PCT_GRANDP_NO_RESPS,color_albu_urine,color_bun,color_crea_serum,color_crea_urine
2020,72001,Adjuntas,Puerto Rico,-66.75,18.175,3837.0,55.24,21.9,47.53,76.52,10.75,11.39,1.34,56.02,20.56,13.82,2.63,2.43,28.2,34.99,36.81,6.51,7.18,4.08,11.34,21.32915133724723,17.366096256684493,0.971246303337558,125.81030701754386,15724021,5515151,16579581,12369372,10394312,8420794,"rgb(146,46,3)","rgb(241,105,19)","rgb(146,46,3)","rgb(253,141,60)"
2020,72003,Aguada,Puerto Rico,-67.175,18.365,10960.0,47.72,12.97,34.39,62.89,16.78,15.72,4.61,52.73,19.17,15.54,0.78,5.0,26.19,34.1,39.7,5.62,5.09,2.66,21.03,14.484002043596732,17.533811780636427,0.9103090943254416,113.46023765996344,13356003,12369372,16579581,9407425,7694254,5515151,"rgb(217,72,1)","rgb(229,88,10)","rgb(253,141,60)","rgb(254,219,184)"
2020,72005,Aguadilla,Puerto Rico,-67.115,18.465,13709.0,65.39,16.11,48.78,62.4,13.0,18.26,6.34,47.07,20.44,17.08,1.23,6.85,29.62,26.0,44.38,5.16,0.61,0.61,26.96,7.459676007005255,17.773808545603945,0.9454694736842104,120.64862470862472,9407425,15000560,11381714,7694254,4787846,13356003,"rgb(253,208,162)","rgb(217,72,1)","rgb(191,63,2)","rgb(253,208,162)"
2020,72007,Aguas Buenas,Puerto Rico,-66.13,18.25,8278.0,72.38,14.71,38.15,57.38,21.32,17.02,4.29,47.97,22.75,14.5,0.0,2.89,32.57,27.28,40.14,7.65,4.06,4.04,3.93,8.161645951035783,16.848390062111804,0.9246449704142012,109.32483766233769,9407425,10394312,13356003,15000560,6967715,15724021,"rgb(253,191,134)","rgb(253,174,107)","rgb(241,105,19)","rgb(255,237,220.5)"
2020,72009,Aibonito,Puerto Rico,-66.255,18.135,7010.0,59.03,12.36,31.31,61.16,17.24,16.56,5.05,46.58,19.99,15.22,1.9,7.79,35.4,21.6,43.0,4.27,0.35,0.16,0.16,5.466233333333334,18.709898989898992,0.91429483459083,110.84897435897436,8420794,8420794,6241433,5515151,4128893,11381714,"rgb(255,237,220.5)","rgb(146,46,3)","rgb(247,123,39)","rgb(255,237,220.5)"
2020,72013,Arecibo,Puerto Rico,-66.67,18.42,23353.0,67.44,14.18,36.64,61.19,17.37,17.39,4.05,49.64,23.99,18.2,2.15,5.66,29.61,22.54,47.85,6.22,8.17,0.07,24.58,16.000999415478137,18.75077247050172,1.0375723200836178,121.93140809011776,11381714,16119033,7694254,11381714,11381714,15000560,"rgb(191,63,2)","rgb(127,39,4)","rgb(127,39,4)","rgb(253,191,134)"
2020,72015,Arroyo,Puerto Rico,-66.05,17.98,3727.0,78.82,10.6,53.1,66.6,16.84,13.97,2.59,54.99,22.41,15.68,0.0,3.02,35.4,23.49,41.11,3.97,14.95,0.64,12.23,24.64409653916212,16.01723014256619,0.9020054570259208,125.90691699604744,15000560,5515151,8420794,4787846,15724021,16119033,"rgb(146,46,3)","rgb(254,230,206)","rgb(253,174,107)","rgb(247,123,39)"
2020,72011,Añasco,Puerto Rico,-67.12,18.29,8260.0,50.59,12.66,30.24,60.86,15.16,20.17,3.81,52.24,20.32,13.49,1.51,3.52,30.94,31.72,37.33,4.54,10.73,4.94,17.63,0.0,0.0,0.0,0.0,13356003,9407425,16119033,6241433,13356003,6967715,"rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)","rgb(255,245,235)"
2020,72017,Barceloneta,Puerto Rico,-66.56,18.45,6641.0,63.88,11.68,44.4,61.79,14.06,20.97,3.18,47.79,19.18,17.79,4.76,4.68,31.93,26.42,41.64,5.93,4.02,4.02,25.51,12.564707098937957,16.904285390713476,0.929301215277778,143.45705426356588,9407425,7694254,12369372,9407425,6241433,13356003,"rgb(217,72,1)","rgb(253,157,83)","rgb(229,88,10)","rgb(127,39,4)"
2020,72019,Barranquitas,Puerto Rico,-66.305,18.2,7417.0,53.96,22.66,45.1,67.78,12.84,16.05,3.33,54.02,24.61,14.81,3.62,5.05,29.29,26.25,44.46,4.17,4.31,4.52,4.52,6.67493157460841,16.9573968376398,0.8498121730860675,123.74932515337424,15000560,8420794,12369372,5515151,6967715,7694254,"rgb(254,219,184)","rgb(253,157,83)","rgb(255,237,220.5)","rgb(253,157,83)"
